datetime,open,high,low,close,volume,kline_status
2022-09-02,2.625,2.635,2.6175,2.6325,35900.0,TREND_DOWN
2022-09-05,2.6275,2.6325,2.625,2.625,30900.0,INSIDE
2022-09-06,2.62,2.625,2.62,2.62,32100.0,TREND_DOWN
2022-09-07,2.622,2.6325,2.62,2.627,32600.0,OUTSIDE
2022-09-08,2.63,2.637,2.63,2.63,23100.0,TREND_UP
2022-09-09,2.6325,2.6525,2.63,2.643,35700.0,OUTSIDE
2022-09-13,2.645,2.65,2.6425,2.649,21100.0,INSIDE
2022-09-14,2.6525,2.665,2.6525,2.664,28900.0,TREND_UP
2022-09-15,2.655,2.665,2.648,2.6615,31300.0,OUTSIDE
2022-09-16,2.67,2.6825,2.67,2.67,26500.0,TREND_UP
2022-09-19,2.67,2.68,2.67,2.67,13200.0,INSIDE
2022-09-20,2.67,2.672,2.656,2.6575,18300.0,TREND_DOWN
2022-09-21,2.656,2.656,2.6375,2.638,52500.0,TREND_DOWN
2022-09-22,2.6375,2.6475,2.6345,2.646,39200.0,TREND_DOWN
2022-09-23,2.65,2.6725,2.65,2.6725,30500.0,TREND_UP
2022-09-26,2.6875,2.7,2.677,2.6985,31000.0,TREND_UP
2022-09-27,2.7,2.705,2.682,2.6875,26000.0,TREND_UP
2022-09-28,2.6925,2.72,2.6925,2.715,35500.0,TREND_UP
2022-09-29,2.6975,2.7325,2.695,2.725,20900.0,TREND_UP
2022-09-30,2.735,2.755,2.72,2.755,14000.0,TREND_UP
2022-10-08,2.77,2.77,2.745,2.745,1700.0,TREND_UP
2022-10-09,2.725,2.725,2.715,2.723,6400.0,TREND_DOWN
2022-10-10,2.74,2.7425,2.737,2.74,14800.0,TREND_UP
2022-10-11,2.7375,2.745,2.727,2.74,33600.0,OUTSIDE
2022-10-12,2.755,2.76,2.7275,2.7275,33700.0,TREND_UP
2022-10-13,2.73,2.73,2.7225,2.7225,22500.0,TREND_DOWN
2022-10-14,2.7275,2.7275,2.69,2.6975,33800.0,TREND_DOWN
2022-10-17,2.69,2.7075,2.69,2.7,25200.0,INSIDE
2022-10-18,2.7025,2.7075,2.7,2.7,21500.0,INSIDE
2022-10-19,2.7,2.708,2.698,2.7065,29200.0,OUTSIDE
2022-10-20,2.71,2.7325,2.71,2.7175,26500.0,TREND_UP
2022-10-21,2.7175,2.7325,2.7175,2.7325,14900.0,INSIDE
2022-10-24,2.725,2.7325,2.7125,2.7175,20200.0,OUTSIDE
2022-10-25,2.71,2.73,2.71,2.73,18000.0,TREND_DOWN
2022-10-26,2.7275,2.7275,2.702,2.705,20300.0,TREND_DOWN
2022-10-27,2.7025,2.7025,2.69,2.7,23600.0,TREND_DOWN
2022-10-28,2.695,2.6975,2.665,2.665,33200.0,TREND_DOWN
2022-10-31,2.65,2.651,2.635,2.645,37900.0,TREND_DOWN
2022-11-01,2.645,2.67,2.645,2.665,52300.0,TREND_UP
2022-11-02,2.665,2.6875,2.665,2.685,48200.0,TREND_UP
2022-11-03,2.68,2.68,2.668,2.6775,33100.0,INSIDE
2022-11-04,2.6775,2.71,2.6775,2.7075,43400.0,TREND_UP
2022-11-07,2.6925,2.7025,2.69,2.7025,28500.0,INSIDE
2022-11-08,2.71,2.71,2.68,2.68,32600.0,OUTSIDE
2022-11-09,2.6825,2.696,2.6825,2.6925,26600.0,INSIDE
2022-11-10,2.695,2.7025,2.6825,2.6875,39600.0,OUTSIDE
2022-11-11,2.68,2.75,2.6775,2.7375,69000.0,OUTSIDE
2022-11-14,2.8,2.84,2.775,2.839,52600.0,TREND_UP
2022-11-15,2.845,2.85,2.805,2.815,43100.0,TREND_UP
2022-11-16,2.81,2.8525,2.795,2.83,36100.0,OUTSIDE
2022-11-17,2.82,2.835,2.7875,2.7875,41600.0,TREND_DOWN
2022-11-18,2.7875,2.83,2.785,2.83,48900.0,TREND_DOWN
2022-11-21,2.805,2.8275,2.8025,2.82,36100.0,INSIDE
2022-11-22,2.825,2.84,2.8225,2.83,30900.0,TREND_UP
2022-11-23,2.8225,2.8225,2.785,2.785,36100.0,TREND_DOWN
2022-11-24,2.75,2.8075,2.75,2.805,38000.0,TREND_DOWN
2022-11-25,2.805,2.84,2.7975,2.84,19300.0,TREND_UP
2022-11-28,2.83,2.87,2.8275,2.87,29800.0,TREND_UP
2022-11-29,2.89,2.919,2.8775,2.89,44000.0,TREND_UP
2022-11-30,2.89,2.92,2.885,2.9175,41500.0,TREND_UP
2022-12-01,2.935,2.935,2.885,2.8975,41600.0,OUTSIDE
2022-12-02,2.895,2.905,2.88,2.905,49500.0,TREND_DOWN
2022-12-05,2.9025,2.925,2.9,2.9245,25500.0,TREND_UP
2022-12-06,2.92,2.945,2.9175,2.945,37300.0,TREND_UP
2022-12-07,2.945,2.99,2.885,2.9075,47800.0,OUTSIDE
