datetime,open,high,low,close,volume,kline_status,raw_fractal,valid_fractal
2025-03-20,4759.6394,4760.9887,4713.2505,4718.1824,20839653900,TREND_DOWN,,
2025-03-21,4706.3808,4725.7605,4630.9686,4642.7435,24898904800,TREND_DOWN,,
2025-03-24,4645.2034,4667.3617,4620.0041,4661.7548,23638428800,TREND_DOWN,BOTTOM,Bx
2025-03-25,4664.7493,4675.2669,4642.3775,4653.2483,20754959000,TREND_UP,TOP,
2025-03-28,4649.6995,4654.619,4612.9187,4627.1403,18327420100,TREND_DOWN_(M),,
2025-04-02,4612.5962,4613.5884,4569.1868,4590.6699,22227454500,TREND_DOWN_(M),,
2025-04-03,4541.0818,4587.1382,4540.4176,4554.2481,19008206600,TREND_DOWN,,
2025-04-09,4319.4631,4319.4631,4117.6228,4311.8391,38282160700,TREND_DOWN_(M),BOTTOM,B
2025-04-10,4391.8804,4409.117,4349.2449,4376.2774,31277004900,TREND_UP,,
2025-04-11,4366.7535,4419.7609,4349.8102,4400.6428,23533484800,TREND_UP,,
2025-04-14,4431.9751,4441.2382,4410.1508,4417.5218,22864871600,TREND_UP,TOP,
2025-04-16,4415.1582,4415.8594,4357.2271,4415.3764,18452929500,TREND_DOWN_(M),BOTTOM,
2025-04-18,4393.7996,4425.3372,4390.6517,4413.1407,16885451900,TREND_UP_(M),,
2025-04-21,4409.6807,4449.4663,4401.3054,4444.332,17547393100,TREND_UP,,
2025-04-22,4438.654,4456.1978,4435.5968,4436.5102,18915663300,TREND_UP,,
2025-04-23,4460.9914,4468.745,4436.9156,4444.9653,19480565000,TREND_UP,TOP,Tx
2025-04-25,4446.3587,4463.8467,4423.0712,4443.1746,17071269300,TREND_DOWN_(M),,
2025-04-28,4441.3175,4444.3712,4422.8749,4432.1385,17779690700,TREND_DOWN,,
2025-04-29,4425.8205,4443.385,4419.1009,4431.6336,16480776100,TREND_DOWN,BOTTOM,Bx
2025-04-30,4433.0047,4452.0865,4426.5514,4435.81,20698707700,TREND_UP,,
2025-05-06,4465.5902,4494.9744,4454.8991,4494.626,23707364500,TREND_UP,,
2025-05-07,4555.0822,4558.1286,4494.8621,4517.504,24265384600,TREND_UP,,
2025-05-09,4504.1553,4558.6364,4504.1553,4526.2419,19669891100,TREND_UP_(M),,
2025-05-12,4551.6869,4583.3406,4543.618,4583.1916,21462438300,TREND_UP,,
2025-05-14,4614.8553,4647.8036,4578.606,4626.0749,20850592900,TREND_UP_(M),TOP,T
2025-05-15,4616.5269,4616.5269,4575.281,4578.1774,19693241700,TREND_DOWN,,
2025-05-16,4566.8655,4577.2118,4549.5016,4563.0199,16614547300,TREND_DOWN,,
2025-05-19,4557.9239,4560.2126,4533.8588,4552.4145,15327448400,TREND_DOWN,BOTTOM,
2025-05-20,4558.2608,4592.8172,4552.3503,4579.383,16593611700,TREND_UP,,
2025-05-22,4579.7314,4612.0451,4579.7314,4585.8343,16839819300,TREND_UP_(M),TOP,
2025-05-23,4581.1151,4611.2039,4549.8879,4549.8879,17335017000,TREND_DOWN,,
2025-05-26,4543.5972,4559.0628,4517.0225,4531.7345,15674735400,TREND_DOWN,,
2025-06-03,4527.7766,4527.7766,4492.3837,4512.0749,14443590000,TREND_DOWN_(M),BOTTOM,B
2025-06-04,4516.4895,4542.0833,4516.4895,4533.8339,16489389100,TREND_UP,,
2025-06-05,4538.1736,4555.79,4525.4757,4549.5389,17327291300,TREND_UP,,
2025-06-06,4549.6421,4560.7178,4538.7422,4545.0977,15589747000,TREND_UP,,
2025-06-09,4549.5027,4575.944,4543.8361,4562.7654,18449782600,TREND_UP,TOP,Tx
2025-06-10,4565.9321,4572.4838,4514.6523,4536.0459,20301052700,TREND_DOWN,BOTTOM,Bx
2025-06-12,4541.3291,4586.9288,4541.3291,4566.6038,18228702100,TREND_UP_(M),TOP,T
2025-06-17,4553.3715,4553.3715,4520.0172,4537.1822,23744575200,TREND_DOWN_(M),,
2025-06-18,4535.6453,4547.1155,4518.1393,4540.4119,17258424100,TREND_DOWN,,
2025-06-19,4534.0887,4538.5094,4489.6843,4499.8166,18302357800,TREND_DOWN,,
2025-06-23,4494.8715,4512.7638,4473.5458,4509.8859,15801964800,TREND_DOWN_(M),BOTTOM,B
2025-06-24,4516.5348,4576.8856,4516.5348,4570.1885,22017834200,TREND_UP,,
2025-06-25,4574.1672,4634.5469,4569.681,4631.2658,24365613300,TREND_UP,,
2025-06-27,4624.613,4646.5885,4601.7672,4601.7672,22743981500,TREND_UP_(M),TOP,Tx
2025-06-30,4604.5665,4634.9497,4601.0164,4630.4534,21746835400,TREND_DOWN,BOTTOM,
2025-07-02,4630.7011,4640.3274,4615.1858,4627.6555,19888788200,TREND_UP_(M),,
2025-07-03,4633.8675,4661.4822,4628.1225,4656.9063,18589621700,TREND_UP,,
2025-07-04,4655.5985,4701.5761,4642.8301,4662.5144,20598185600,TREND_UP,TOP,Tx
2025-07-07,4655.5921,4658.6586,4633.7439,4639.96,16901301300,TREND_DOWN,BOTTOM,Bx
2025-07-08,4640.0289,4691.4365,4640.0289,4687.5758,21060712000,TREND_UP,,
2025-07-09,4686.966,4706.3739,4670.2494,4676.0508,22771419300,TREND_UP,,
2025-07-10,4678.8105,4720.4185,4675.806,4696.4381,25797356400,TREND_UP,,
